COMMON NAME,SCIENTIFIC NAME,FAMILY NAME,DESCRIPTION,ECOLOGICAL ROLE/INFORMATION,CONSERVATION STATUS,USES/IMPORTANCE,ORIGIN AND DISTRIBUTION,GPS COORDINATES,PICTURES
Shea tree,Vitellaria paradoxa C.F. Gaertn.,Sapotaceae,"Medium to large evergreen tree, 10–25 m tall, with a dense, rounded crown.
Bark dark grey to brown, deeply fissured, secreting a sticky latex when cut.
Leaves simple, oblong–elliptic, leathery, and clustered at branch tips.
Flowers small, cream to greenish-white, fragrant, in clusters at leaf axils.
Fruit is a fleshy berry, ellipsoid, 3–6 cm long, green when unripe and yellow–brown when ripe, containing a single shiny brown seed (shea nut). Fruits eaten by birds, monkeys, and other wildlife, aiding seed dispersal.
Flowers are nectar sources for bees, supporting local honey production.
Although naturally a savanna species, Vitellaria paradoxa adapts well to the Botanical Garden’s forest–savanna transition zone. Its cultural and economic significance makes it a valuable conservation species even outside its natural range.

","Thrives in well-drained, deep, sandy or loamy soils.
Tolerates dry conditions but grows slowly in the absence of adequate moisture.
In Ibadan’s Botanical Garden, benefits from the more humid climate, producing healthy foliage but fruiting less abundantly than in its native savanna range.
","Not globally threatened (IUCN status: Least Concern), but locally vulnerable to habitat loss, overharvesting, and slow regeneration rates.","Seeds yield shea butter, widely used for cooking, cosmetics, and pharmaceuticals.
Wood is hard and durable, used for tool handles, furniture, and fuelwood.
Bark and leaves are used in traditional medicine for treating various ailments.
Leaves also provide shade and microclimate benefits in agroforestry systems.
","Seeds yield shea butter, widely used for cooking, cosmetics, and pharmaceuticals.
Wood is hard and durable, used for tool handles, furniture, and fuelwood.
Bark and leaves are used in traditional medicine for treating various ailments.
Leaves also provide shade and microclimate benefits in agroforestry systems.
",,
"Benjamin Fig , Weeping fig",Ficus benjamina L.,Moraceae (Mulberry or Fig family),"Evergreen tree, typically 10–20 m tall in open landscapes but can reach up to 30 m in natural forest settings.
Trunk often light gray and smooth, with aerial roots developing in mature specimens.
Leaves simple, alternate, and glossy green; ovate to elliptic with acuminate tips, 6–13 cm long.
Branches drooping gracefully, giving the characteristic “weeping” form.
Fruits are small figs (syconia), 1–2 cm in diameter, turning from green to reddish or purple when ripe.
Figs attract birds, bats, and insects.
Aerial roots may provide habitat for small animals.
Often planted alongside other ornamental species like Polyalthia longifolia and Terminalia mantaly.
Highly valued for its graceful drooping branches and evergreen foliage.
One of the most shade-providing ornamental trees in the Botanical Garden.
Can become invasive in some environments due to vigorous root growth.
","Prefers full sun to partial shade and well-drained loamy soils.
Tolerates occasional drought but thrives in moist, humid conditions.
Adaptable to Nigeria’s tropical climate; retains leaves year-round.
Often forms a dense canopy that suppresses undergrowth.
","Not globally threatened (IUCN: Least Concern).
Commonly planted and naturalized in many regions.
","Popular as an ornamental tree for landscaping, gardens, and parks.
Used as an indoor potted plant in smaller forms.
Provides dense shade, making it useful in public spaces.
Fruits are eaten by birds and some mammals, aiding seed dispersal.
Wood used occasionally for low-grade timber or firewood.
","Native to Southeast Asia and northern Australia.
Widely cultivated across tropical and subtropical regions, including Nigeria, as an ornamental and shade tree.
",,
"African Antiaris, Bark cloth Tree ",Antiaris africana Engl.,Moraceae (Mulberry or Fig family),"Large, deciduous to semi-deciduous tree, often reaching 30–45 m in height in the wild; smaller in cultivated settings (15–25 m).
Trunk usually straight and cylindrical with buttresses at the base in mature specimens.
Bark gray to pale brown, smooth in young trees but scaly with age; inner bark fibrous.
Leaves simple, alternate, broadly ovate with asymmetrical bases, 6–18 cm long, rough on the upper surface, and softer beneath.
Flowers are small, unisexual; male flowers in clusters, female flowers solitary.
Fruits are small figs (syconia), yellow to orange when ripe, about 1–1.5 cm in diameter.
A culturally important African tree with both economic and ethnobotanical significance.
The fibrous bark has historically been an important non-timber forest product in many West African communities.
","Thrives in moist, fertile, well-drained soils.
Prefers full sunlight in open areas but can tolerate partial shade.
Deciduous in dry season, shedding leaves to conserve water.
Common in secondary forests and riverine areas.
","Not globally threatened (IUCN: Least Concern).
Locally affected by overexploitation for timber and bark cloth.
","Bark used traditionally for making bark cloth (stripped, beaten, and softened).
Timber valued for furniture, plywood, and general construction; lightweight but durable.
Leaves and fruits serve as fodder for livestock and food for wildlife.
Bark and roots used in traditional medicine for treating various ailments.
","Native to tropical Africa, occurring from Senegal and Guinea eastwards to Ethiopia, Uganda, and Tanzania, and southwards to Angola and Mozambique.
In Nigeria, common in lowland rainforests and moist semi-deciduous forests. Cultivated in botanical collections, including the University of Ibadan Botanical Garden.
",,
Small Garcinia ,Garcinia humilis (Vahl) C.D. Adams,Clusiaceae,"Small to medium-sized evergreen tree, typically 5–8 m tall in cultivation.
Trunk slender with smooth grayish-brown bark.
Leaves simple, opposite, elliptic to oblong, leathery, 6–12 cm long, dark green and glossy above, paler beneath.
Flowers small, white to cream, fragrant, occurring singly or in small clusters.
Fruits are ovoid to ellipsoid berries, 5–6 cm long, with a smooth, orange skin; pulp is white, juicy, and tangy-sweet, containing 1–3 seeds.
A valuable exotic fruit tree with high market potential in Nigeria due to its refreshing, tangy-sweet pulp.
Its manageable size makes it ideal for agroforestry and home gardens.
","Thrives in well-drained, slightly acidic soils.
Prefers full sunlight but tolerates light shade.
Evergreen, retaining foliage year-round in tropical climates.
Tolerates seasonal dry spells but grows best with consistent rainfall or irrigation.
","Not listed as threatened (widely cultivated).
Wild populations in native range face some habitat loss pressures.
Uses and Economic Importance
","Fruits eaten fresh; pulp is rich in vitamin C and antioxidants.
Juice used in beverages, jams, and desserts.
Seeds sometimes used in traditional remedies for digestive issues.
Grown as an ornamental for its attractive foliage and fruit.
","Native to the Amazon Basin, particularly in Bolivia.
Now cultivated in tropical and subtropical regions worldwide for its edible fruit, including botanical collections in West Africa.
Introduced to Nigeria as an exotic ornamental and fruit tree; present in the University of Ibadan Botanical Garden.
",,
West African Hardwood ,Cordia millenii Baker,Boraginaceae ,"Medium to large deciduous tree, typically reaching 18–25 m in height; some individuals in optimal forest conditions exceed 30 m.
Trunk straight and cylindrical with little or no buttressing; diameter often 60–100 cm in mature trees.
Bark pale gray to brown, slightly rough and flaky, exuding a light gum when cut.
Leaves simple, alternate, broadly ovate to elliptical, 10–25 cm long, with a slightly rough texture and prominent veins.
Flowers are small, tubular, white to cream, in loose clusters; mildly fragrant.
Fruits are globose to ovoid drupes, yellow-orange when ripe, 2–3 cm in diameter, with a sweet, edible pulp.
","Prefers deep, fertile, well-drained loamy soils.
Thrives in areas with high rainfall but can tolerate short dry spells.
Deciduous in the dry season.
Commonly regenerates naturally in disturbed forest areas and farm fallows.
","Not globally threatened (IUCN: Least Concern).
Locally affected by overharvesting for timber.
Uses and Economic Importance
","Wood highly valued for furniture, cabinetry, plywood, and interior joinery due to its fine grain and workability.
Fruit is edible and sometimes sold in local markets; sweet pulp eaten fresh.
Leaves used in traditional medicine for wound healing and fever treatment.
Bark decoctions used locally for coughs and chest ailments.
Also planted as a shade tree in homesteads and compounds.
","Native to tropical West and Central Africa, widely distributed from Senegal and Guinea through Nigeria, Cameroon, Gabon, and the Democratic Republic of Congo.
In Nigeria, it occurs in lowland rainforests, moist semi-deciduous forests, and forest-savanna mosaics. Present in cultivated collections such as the University of Ibadan Botanical Garden.
Physical Description
",,
"Red Sandalwood, Coral Wood",Adenanthera pavonina L.,Fabaceae ,"Medium-sized deciduous tree, typically 6–15 m tall, occasionally reaching 20 m under favorable conditions.
Trunk generally straight, with light gray-brown bark that becomes slightly fissured with age.
Leaves bipinnate, alternate, each 20–40 cm long; leaflets small, opposite, ovate to oblong, glossy green.
Flowers are small, yellowish, in dense drooping spikes, mildly fragrant, appearing seasonally.
Fruits are twisted, flattened pods, 15–22 cm long, brown when mature, containing 8–12 brilliant red, hard, lens-shaped seeds.
Distinctive for its vibrant red seeds, which remain glossy for years and are popular for ornamental use.","Medium-sized deciduous tree, typically 6–15 m tall, occasionally reaching 20 m under favorable conditions.
Trunk generally straight, with light gray-brown bark that becomes slightly fissured with age.
Leaves bipinnate, alternate, each 20–40 cm long; leaflets small, opposite, ovate to oblong, glossy green.
Flowers are small, yellowish, in dense drooping spikes, mildly fragrant, appearing seasonally.
Fruits are twisted, flattened pods, 15–22 cm long, brown when mature, containing 8–12 brilliant red, hard, lens-shaped seeds.
","Not threatened globally (IUCN: Least Concern).
Primarily cultivated; wild populations are not a major source for local use.
","Seeds are highly ornamental, traditionally used as beads in jewelry, rosaries, and decorative crafts.
Wood is hard, fine-grained, and durable, suitable for furniture, tool handles, and small woodcrafts.
Leaves and bark used in folk medicine for inflammation and rheumatism.
Seeds (after thorough processing) have been used as famine food in some cultures.
Planted for shade and as an avenue tree due to attractive form.
","Native to Southeast Asia and the Indian subcontinent.
Widely cultivated in tropical and subtropical regions worldwide, including West Africa, the Caribbean, and South America.
In Nigeria, often planted as an ornamental, shade tree, and avenue tree in parks, gardens, and institutional grounds, including the University of Ibadan Botanical Garden.
",,
"African Copaiba, Balsam Tree,
Copal Tree
",Daniellia indica,Fabaceae ,"• Medium to large deciduous tree, 12–25 m tall.
• Bole often straight and cylindrical, sometimes slightly fluted; clear of branches for up to 8–10 m.
• Bark pale grey to brown, thin and flaky, revealing reddish inner bark that exudes aromatic resin when cut.
• Leaves pinnate, alternately arranged; 6–10 pairs of opposite oblong leaflets per leaf, glossy green.
• Flowers small, white to cream, fragrant, in loose panicles at twig ends.
• Fruit is a winged, papery samara 8–12 cm long with seed at one end.
Frequently grows with Vitellaria paradoxa, Khaya senegalensis, and Isoberlinia doka in savanna woodland. Recognizable by aromatic resin, flaky pale bark, and winged fruits. Economically valuable and ecologically resilient.
 
","• Grows well in sandy to lateritic, well-drained soils.
• Prefers regions with distinct wet and dry seasons.
• Fire-resistant due to thick bark; tolerates moderate drought.
","IUCN: Least Concern (LC).
Local decline possible from overharvesting resin and timber.
","• Bark resin (“African copal”) used in varnish, incense, and traditional medicine.
• Wood is moderately durable, used for joinery, plywood, furniture, and light construction.
• Bark and leaves used in folk medicine for cough, bronchitis, and skin issues.
• Flowers attract pollinators, important for beekeeping.
","Native to tropical West Africa.
Occurs in Nigeria, Ghana, Benin, Côte d’Ivoire, and into parts of Central Africa.
Found naturally in savanna woodland and cultivated in parks and botanical gardens.
",,
African Oil Bean Tree,Pentaclethra macrophylla,Fabaceae ,"• Large, evergreen tree reaching 20–25 m in height.
• Bole straight, cylindrical, sometimes slightly buttressed at base; can reach 1 m diameter.
• Bark dark grey-brown, smooth when young, becoming scaly with age.
• Leaves bipinnate, large, with 8–14 pairs of pinnae; numerous small oblong leaflets, glossy green.
• Flowers creamy-white, fragrant, in dense cylindrical spikes.
• Fruit is a large, woody, flat pod (up to 50 cm long), brown when mature, containing 6–10 large flat seeds embedded in whitish pulp.
Ecological Information
Distinctive for its large woody pods, bipinnate leaves, and high food value of seeds. Highly valued in southeastern Nigerian food culture.","• Found in lowland rainforest, forest edges, and secondary growth.
• Prefers deep, well-drained loamy soils; thrives in humid tropical climates.
• Plays an important role in soil fertility through nitrogen fixation.
","IUCN: Least Concern (LC).
Not currently threatened, though local overharvesting of seeds for food may reduce regeneration.
","• Seeds processed into the popular fermented food “ugba” in southeastern Nigeria.
• Seeds yield non-drying oil used in soap making and for cooking.
• Wood used locally for light construction, though not very durable.
• Bark, leaves, and seeds have traditional medicinal applications (skin diseases, worms, tonic).
• Provides shade and acts as a windbreak in farms and homesteads.
","Native to tropical West and Central Africa.
Widely distributed from Senegal to Angola, especially in Nigeria, Cameroon, Ghana, and Gabon.
",,
"Pink Jacaranda, Bignonia Tree",Stereospermum kunthianum Cham.,Bignoniaceae,"• Medium-sized deciduous tree reaching 7–15 m in height.
• Bole often short, crooked; bark greyish-brown, scaly, with fissures exposing reddish inner bark.
• Leaves opposite, pinnate, with 3–6 pairs of lanceolate leaflets, green above and paler beneath.
• Flowers large, trumpet-shaped, pink to purplish, often with yellow throats; borne in terminal or axillary panicles.
• Fruit is a long, narrow, cylindrical capsule up to 60 cm long, containing numerous small winged seeds.
Notable for its showy flowers and long slender seed pods; an important medicinal and ornamental species in savanna landscapes.","• Common in wooded savannas, riverine areas, and secondary forests.
• Tolerates dry conditions; sheds leaves during the dry season to conserve water.
• Attracts pollinators like bees and sunbirds during flowering.
","IUCN: Least Concern (LC).
Common in its range but sometimes overharvested for medicinal bark.
","• Wood used locally for tool handles, light construction, mortars, and pestles.
• Bark and roots widely used in traditional medicine for cough, chest pain, malaria, and skin diseases.
• Ornamental value due to its attractive pink flowers.
• Leaves used as fodder for livestock in rural areas.
","Native to tropical Africa.
Widely distributed across West Africa, including Nigeria, Mali, Burkina Faso, Ghana, Cameroon, and Sudan.
",,
"African Black Walnut, Mansonia",Mansonia altissima (A.Chev.),Malvaceae (formerly Sterculiaceae),"• Large deciduous tree reaching 30–40 m in height, with a straight, cylindrical bole up to 2 m in diameter, often clear for 15–25 m.
• Bark grey to pale brown, slightly scaly; inner bark fibrous and yellowish-brown.
• Leaves alternate, simple, large, broadly ovate, leathery, with toothed margins and prominent veins.
• Flowers small, purplish to lilac, in loose terminal or axillary panicles.
• Fruits are flat, woody, disc-shaped samaras with a wing, aiding wind dispersal.
One of the most valuable hardwood species in West Africa; should be monitored for sustainable management due to its vulnerable conservation status.","• Found in moist semi-deciduous forests and riparian zones.
• Prefers deep, fertile, well-drained soils.
• Important in forest canopy structure and provides shade for understorey plants.
",IUCN: Vulnerable (VU) due to overexploitation for its valuable timber and habitat loss.,"• Timber: Hard, durable, termite-resistant; used for furniture, flooring, joinery, and veneer.
• Bark: Contains tannins; used in local dyeing and medicinal preparations.
• Leaves sometimes used as mulch in agroforestry.
Associated Species or Interactions
","Native to tropical West Africa.
Found in Nigeria, Ghana, Côte d’Ivoire, Cameroon, and parts of Central Africa.
",,
